gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn,totalcharges
Female,0,No,No,12,Yes,No,Yes,No,No,Yes,No,Month-to-month,89.75,1052.4,Yes,1052.4
Female,1,Yes,No,71,Yes,Yes,Yes,Yes,Yes,No,Yes,Two year,82.7,5831.2,No,5831.2
Male,0,No,No,25,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.9,510.8,No,510.8
Female,0,No,No,5,Yes,Yes,No,No,No,No,No,Month-to-month,53.8,283.95,No,283.95
Male,0,No,No,26,Yes,No,No,No,No,No,No,One year,51.55,1295.4,No,1295.4
Male,0,Yes,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.65,19.65,No,19.65
Male,1,No,No,70,No,No,Yes,Yes,No,Yes,No,One year,44.05,3011.65,No,3011.65
Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,114.0,8093.15,No,8093.15
Male,0,Yes,No,60,Yes,No,Yes,No,No,Yes,Yes,One year,94.4,5610.25,Yes,5610.25
Female,1,Yes,Yes,32,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,100.4,3217.65,No,3217.65
Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.85,19.85,Yes,19.85
Female,0,No,No,14,Yes,No,Yes,No,No,No,No,One year,54.25,773.2,No,773.2
Female,0,No,No,13,Yes,Yes,No,No,No,No,No,Month-to-month,80.0,1029.35,No,1029.35
Female,0,No,No,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,109.9,669.45,Yes,669.45
Female,0,No,No,46,Yes,Yes,No,Yes,No,Yes,Yes,Two year,79.2,3593.8,No,3593.8
Male,0,No,No,15,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,101.35,1553.95,Yes,1553.95
Male,1,Yes,No,43,Yes,No,Yes,No,Yes,Yes,No,Month-to-month,94.3,3953.15,No,3953.15
Male,0,No,No,39,Yes,No,No,No,Yes,No,No,Two year,49.8,1971.15,No,1971.15
Male,1,No,No,21,Yes,No,No,Yes,No,Yes,No,Month-to-month,60.05,1236.15,Yes,1236.15
Male,0,No,No,57,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,53.75,3196,No,3196.0
Female,0,Yes,No,53,Yes,No,No,No,Yes,Yes,Yes,One year,93.45,4872.2,No,4872.2
Male,0,Yes,Yes,18,Yes,Yes,No,Yes,No,Yes,No,Month-to-month,87.9,1500.5,No,1500.5
Female,0,No,No,1,Yes,No,No,No,No,No,Yes,Month-to-month,60.15,60.15,Yes,60.15
Female,0,Yes,No,58,Yes,Yes,No,No,Yes,No,No,One year,61.05,3478.75,No,3478.75
Female,1,No,No,71,Yes,No,No,Yes,No,Yes,Yes,Two year,104.05,7413.55,No,7413.55
Female,0,No,No,35,Yes,No,No,Yes,Yes,Yes,Yes,One year,99.25,3532,No,3532.0
Male,0,No,No,3,Yes,No,No,Yes,No,No,Yes,Month-to-month,85.7,256.75,No,256.75
Male,0,No,No,38,Yes,Yes,Yes,No,No,Yes,Yes,One year,104.85,3887.25,No,3887.25
Male,0,Yes,Yes,35,Yes,Yes,Yes,Yes,Yes,No,No,Two year,69.15,2490.15,No,2490.15
Male,0,No,No,7,Yes,No,No,Yes,No,Yes,No,Month-to-month,90.45,593.45,Yes,593.45
Female,0,No,No,47,Yes,No,No,Yes,Yes,Yes,Yes,Two year,74.45,3510.3,No,3510.3
Female,0,No,No,14,Yes,No,Yes,No,No,No,No,Month-to-month,50.45,765.45,No,765.45
Female,1,Yes,No,20,Yes,No,Yes,No,No,No,Yes,Month-to-month,60.0,1259.35,No,1259.35
Male,0,Yes,No,66,Yes,Yes,Yes,No,Yes,Yes,Yes,Two year,85.25,5538.35,No,5538.35
Male,0,Yes,No,15,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,340.85,No,340.85
Female,0,No,No,42,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.75,844.45,No,844.45
Female,0,Yes,No,17,Yes,Yes,No,No,No,No,No,Month-to-month,78.9,1348.95,No,1348.95
Male,0,No,No,37,Yes,No,Yes,No,Yes,Yes,Yes,One year,104.5,3778,No,3778.0
Female,0,No,No,12,Yes,No,Yes,No,No,No,No,Month-to-month,49.4,611.65,No,611.65
Male,0,Yes,No,53,Yes,No,Yes,No,No,Yes,Yes,One year,94.25,4867.95,Yes,4867.95
Female,0,No,No,60,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.0,1505.05,No,1505.05
Male,0,Yes,Yes,18,No,No,No,No,No,No,No,Month-to-month,25.55,467.85,No,467.85
Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,74.9,74.9,Yes,74.9
Female,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,70.15,194.2,No,194.2
Female,0,No,Yes,9,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,69.4,571.45,No,571.45
Female,0,No,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,80.25,80.25,Yes,80.25
Male,0,Yes,No,56,Yes,Yes,Yes,Yes,No,No,No,One year,93.15,5253.95,No,5253.95
Male,0,Yes,Yes,17,Yes,No,No,No,No,No,No,Month-to-month,69.0,1149.65,Yes,1149.65
Female,0,Yes,Yes,11,Yes,No,No,No,Yes,No,Yes,Month-to-month,66.35,740.8,Yes,740.8
Male,0,No,No,7,Yes,No,No,No,No,No,No,Month-to-month,69.55,521.35,No,521.35
Female,0,Yes,Yes,69,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.2,1412.65,No,1412.65
Male,0,No,No,19,Yes,No,No,No,No,No,Yes,Month-to-month,86.0,1532.45,Yes,1532.45
Female,0,Yes,Yes,3,Yes,No,No,No,No,No,Yes,Month-to-month,80.3,250.05,Yes,250.05
Male,0,Yes,Yes,54,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.4,1090.6,No,1090.6
Male,0,Yes,No,62,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,23.75,1446.8,No,1446.8
Male,0,No,No,24,Yes,No,Yes,No,No,Yes,No,Month-to-month,90.55,2282.55,Yes,2282.55
Female,0,Yes,Yes,62,Yes,No,No,No,No,Yes,Yes,Month-to-month,70.45,4300.45,No,4300.45
Male,0,No,No,17,Yes,Yes,No,No,No,No,Yes,Month-to-month,65.75,1111.2,No,1111.2
Male,0,No,No,9,No,No,No,No,No,No,No,Month-to-month,24.6,190.1,No,190.1
Male,0,Yes,Yes,64,Yes,Yes,No,Yes,Yes,Yes,No,Two year,69.25,4447.75,No,4447.75
Female,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,75.9,143.35,Yes,143.35
Male,0,Yes,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,45.85,45.85,Yes,45.85
Female,0,Yes,No,16,No,No,No,No,Yes,Yes,Yes,Month-to-month,49.95,810.2,Yes,810.2
Female,0,Yes,No,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.65,1830.05,No,1830.05
Male,0,No,No,30,Yes,Yes,Yes,Yes,No,No,No,One year,90.4,2820.65,No,2820.65
Female,0,Yes,No,49,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,100.85,4847.35,No,4847.35
Male,0,Yes,No,61,Yes,Yes,No,Yes,Yes,No,Yes,Two year,75.35,4729.3,No,4729.3
Male,0,Yes,Yes,47,Yes,No,Yes,No,No,Yes,No,Month-to-month,87.2,4017.45,No,4017.45
Male,0,No,No,20,Yes,Yes,No,Yes,No,No,Yes,Month-to-month,64.4,1398.6,No,1398.6
Male,0,Yes,Yes,34,Yes,No,No,No,No,Yes,No,Month-to-month,78.3,2564.3,Yes,2564.3
Female,0,Yes,Yes,70,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.7,1685.9,No,1685.9
Male,0,No,Yes,54,Yes,Yes,Yes,No,Yes,Yes,Yes,One year,105.85,5826.65,No,5826.65
Male,1,Yes,No,61,Yes,No,Yes,Yes,Yes,Yes,No,One year,98.3,6066.55,No,6066.55
Male,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,76.95,228.4,Yes,228.4
Male,0,No,No,13,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.45,270.2,No,270.2
Female,1,No,No,16,Yes,No,No,No,No,Yes,Yes,Month-to-month,96.15,1529.2,Yes,1529.2
Female,0,Yes,Yes,3,Yes,No,Yes,No,No,Yes,No,Month-to-month,58.7,168.6,No,168.6
Male,0,No,No,25,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,536.35,No,536.35
Male,0,No,No,30,Yes,Yes,No,No,No,No,Yes,Month-to-month,64.5,1888.45,No,1888.45
Female,0,Yes,No,21,No,Yes,No,No,No,No,No,Month-to-month,28.5,629.35,No,629.35
Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.3,45.3,Yes,45.3
Female,0,No,No,15,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.4,289.3,Yes,289.3
Male,1,Yes,No,23,Yes,No,No,No,No,Yes,Yes,Month-to-month,90.45,2117.25,No,2117.25
Female,0,Yes,Yes,45,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,105.15,4730.9,No,4730.9
Female,0,Yes,Yes,24,Yes,No,Yes,Yes,No,No,No,One year,83.15,2033.05,No,2033.05
Female,0,No,No,11,Yes,No,No,No,Yes,Yes,No,Month-to-month,90.15,987.95,Yes,987.95
Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.05,45.05,Yes,45.05
Female,0,Yes,No,56,Yes,No,No,Yes,Yes,Yes,Yes,Two year,103.2,5744.35,No,5744.35
Female,0,No,No,1,Yes,No,Yes,No,No,No,No,Month-to-month,75.8,75.8,Yes,75.8
Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,19.45,No,19.45
Female,0,No,No,7,Yes,No,No,No,No,No,Yes,Month-to-month,79.3,523.15,Yes,523.15
Female,1,Yes,No,55,Yes,No,No,Yes,Yes,Yes,No,Two year,88.8,4805.3,No,4805.3
Female,0,No,No,2,No,No,No,No,Yes,No,No,Month-to-month,30.9,59.05,Yes,59.05
Female,0,Yes,Yes,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,85.9,6110.75,No,6110.75
Female,1,No,No,45,No,No,No,No,No,No,Yes,One year,34.2,1596.6,No,1596.6
Female,0,No,No,47,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.15,1046.2,No,1046.2
Female,1,No,No,46,Yes,No,Yes,No,No,Yes,Yes,One year,95.25,4424.2,Yes,4424.2
Male,0,No,No,2,Yes,No,Yes,No,No,No,No,Month-to-month,50.3,92.75,No,92.75
Female,0,Yes,No,2,Yes,Yes,No,No,Yes,No,No,Month-to-month,80.15,194.55,No,194.55
Female,0,Yes,No,12,Yes,No,Yes,No,No,No,No,Month-to-month,51.25,612.1,No,612.1
Female,1,Yes,No,68,Yes,No,Yes,No,No,No,Yes,Month-to-month,89.6,6127.6,Yes,6127.6
Male,0,Yes,Yes,69,Yes,No,No,No,Yes,Yes,Yes,Two year,95.2,6671.7,No,6671.7
Male,1,No,Yes,56,Yes,Yes,No,No,No,Yes,Yes,One year,94.8,5264.3,No,5264.3
Female,1,No,No,4,Yes,Yes,No,No,No,No,No,Month-to-month,80.25,303.7,No,303.7
Male,0,Yes,No,64,Yes,No,Yes,Yes,Yes,Yes,No,Two year,76.1,4818.8,No,4818.8
Male,0,Yes,No,59,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,110.15,6448.05,Yes,6448.05
Male,0,Yes,Yes,62,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,115.55,7159.05,No,7159.05
Male,0,Yes,Yes,63,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.65,1574.5,No,1574.5
Female,0,No,No,53,No,Yes,Yes,Yes,Yes,Yes,No,One year,53.6,2879.2,No,2879.2
Male,0,Yes,Yes,5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,86.05,No,86.05
Male,1,Yes,No,49,Yes,Yes,Yes,Yes,No,No,No,Month-to-month,88.2,4159.45,No,4159.45
Female,0,Yes,Yes,62,Yes,Yes,No,No,No,Yes,Yes,Two year,101.15,6638.35,No,6638.35
Female,0,Yes,No,55,Yes,Yes,Yes,No,Yes,No,No,Two year,56.8,3112.05,No,3112.05
Female,1,Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,99.4,7168.25,No,7168.25
Female,0,Yes,Yes,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.1,1326.25,No,1326.25
Male,0,Yes,Yes,36,No,Yes,No,Yes,Yes,Yes,Yes,One year,60.7,2234.55,No,2234.55
Male,0,Yes,No,25,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.95,495.15,No,495.15
Female,1,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,114.85,8317.95,No,8317.95
Female,0,No,No,36,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.25,679.8,No,679.8
Male,0,No,No,1,Yes,No,No,No,No,Yes,Yes,Month-to-month,62.8,62.8,No,62.8
Female,0,Yes,No,72,Yes,Yes,No,Yes,No,Yes,Yes,Two year,105.5,7544,No,7544.0
Male,0,Yes,Yes,59,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.85,1188.25,No,1188.25
Male,1,Yes,No,7,Yes,No,No,No,No,Yes,Yes,Month-to-month,89.5,676.7,Yes,676.7
Female,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,One year,74.1,74.1,No,74.1
Female,0,Yes,Yes,30,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,107.5,3242.5,No,3242.5
Male,0,No,No,64,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.55,1240.15,No,1240.15
Male,0,No,No,63,Yes,Yes,Yes,Yes,Yes,No,No,One year,68.8,4111.35,No,4111.35
Male,1,Yes,No,72,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,84.45,5899.85,No,5899.85
Male,0,Yes,No,8,Yes,Yes,No,No,No,No,No,Month-to-month,75.0,632.95,Yes,632.95
Female,0,No,No,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,84.5,5193.2,No,5193.2
Male,0,Yes,Yes,67,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,111.2,7530.8,No,7530.8
Male,0,No,No,6,Yes,No,No,No,No,No,No,Month-to-month,44.75,270.95,Yes,270.95
Female,0,Yes,Yes,70,Yes,Yes,No,No,Yes,Yes,Yes,Two year,80.6,5460.2,No,5460.2
Female,1,No,No,20,Yes,No,No,No,No,Yes,No,Month-to-month,80.7,1614.2,No,1614.2
Female,0,No,No,5,Yes,No,No,No,No,No,No,Month-to-month,75.6,402.5,No,402.5
Female,0,Yes,Yes,24,No,Yes,Yes,Yes,No,Yes,Yes,One year,57.6,1367.75,No,1367.75
Female,0,Yes,No,11,Yes,No,No,No,No,No,No,Month-to-month,44.05,483.7,Yes,483.7
Male,0,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,110.6,7962.2,No,7962.2
Female,0,Yes,Yes,66,Yes,Yes,Yes,No,Yes,No,No,Two year,58.2,3810.8,No,3810.8
Female,0,Yes,Yes,45,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,81.0,3533.6,No,3533.6
Female,0,Yes,Yes,69,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.7,1396.9,No,1396.9
Male,1,Yes,No,15,Yes,No,No,No,No,No,Yes,Month-to-month,85.6,1345.55,Yes,1345.55
Female,0,No,No,28,Yes,No,No,Yes,No,Yes,No,Month-to-month,59.55,1646.45,No,1646.45
Female,0,No,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,115.55,8127.6,Yes,8127.6
Female,0,No,No,36,Yes,Yes,Yes,Yes,Yes,No,Yes,One year,75.55,2680.15,No,2680.15
Male,1,No,No,16,Yes,No,No,No,No,Yes,No,Month-to-month,86.6,1281,Yes,1281.0
Female,0,No,No,18,Yes,No,No,No,No,Yes,No,Month-to-month,85.2,1553.9,Yes,1553.9
Female,0,Yes,No,34,Yes,No,No,No,No,Yes,Yes,Month-to-month,97.65,3207.55,Yes,3207.55
Male,0,Yes,Yes,42,No,No,Yes,Yes,No,No,Yes,One year,45.1,2049.05,No,2049.05
Male,0,No,No,48,Yes,Yes,No,No,Yes,No,Yes,One year,70.95,3629.2,No,3629.2
Male,0,Yes,No,47,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,109.55,5124.55,Yes,5124.55
Female,0,Yes,Yes,39,Yes,No,Yes,Yes,Yes,No,No,One year,89.55,3474.45,Yes,3474.45
Female,0,Yes,Yes,11,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.9,202.3,No,202.3
Male,0,No,No,7,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,147.5,No,147.5
Female,0,No,No,3,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,24.6,86.35,No,86.35
Male,0,No,No,8,Yes,Yes,No,Yes,No,No,Yes,Month-to-month,66.7,579,No,579.0
Male,0,No,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,19.45,Yes,19.45
Male,0,Yes,Yes,32,Yes,Yes,Yes,Yes,No,No,Yes,One year,94.8,3131.55,No,3131.55
Male,0,Yes,Yes,60,Yes,Yes,Yes,Yes,Yes,No,No,One year,65.85,3928.3,No,3928.3
Female,0,Yes,No,10,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,187.75,No,187.75
Female,0,Yes,No,71,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.65,1710.15,No,1710.15
Female,0,Yes,Yes,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.35,76.35,Yes,76.35
Female,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.25,69.25,Yes,69.25
Female,0,Yes,Yes,43,No,Yes,Yes,No,Yes,Yes,No,One year,51.25,2151.6,No,2151.6
Male,0,Yes,No,59,Yes,No,No,Yes,No,Yes,Yes,One year,99.5,5961.1,Yes,5961.1
Female,0,Yes,No,23,Yes,No,No,Yes,Yes,No,No,Month-to-month,54.25,1221.55,No,1221.55
Female,0,Yes,No,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.4,1496.45,No,1496.45
Male,0,Yes,No,22,Yes,Yes,No,No,Yes,No,No,One year,56.25,1292.2,No,1292.2
Female,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,25.15,25.15,No,25.15
Male,0,No,No,69,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,23.95,1713.1,No,1713.1
Male,0,No,No,50,No,Yes,No,No,Yes,No,No,One year,35.4,1748.9,No,1748.9
Female,1,No,No,1,No,No,No,No,No,No,No,Month-to-month,25.2,25.2,Yes,25.2
Male,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,45.0,96.45,Yes,96.45
Female,0,Yes,No,15,Yes,No,Yes,No,No,No,No,Month-to-month,75.35,1114.55,No,1114.55
Male,0,No,No,31,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.4,609.1,No,609.1
Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,20.15,Yes,20.15
Male,0,Yes,No,66,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,105.0,7133.25,Yes,7133.25
Female,0,Yes,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,Two year,56.05, ,No,0.0
Male,0,No,Yes,3,Yes,No,No,No,No,Yes,No,Month-to-month,54.7,169.45,Yes,169.45
Female,0,No,No,8,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.0,141.6,No,141.6
Male,0,Yes,Yes,64,Yes,Yes,No,Yes,No,Yes,Yes,One year,73.05,4688.65,No,4688.65
Female,0,Yes,No,28,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.5,563.05,No,563.05
Female,0,Yes,No,57,Yes,No,No,Yes,No,Yes,Yes,One year,100.75,5985,No,5985.0
Female,0,Yes,Yes,14,Yes,No,No,Yes,No,No,Yes,Month-to-month,87.25,1258.6,Yes,1258.6
Male,0,No,No,19,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.95,373.5,No,373.5
Male,0,Yes,No,10,Yes,No,No,No,No,Yes,No,Month-to-month,79.95,857.2,Yes,857.2
Female,0,Yes,No,51,No,No,Yes,No,No,Yes,Yes,Month-to-month,49.65,2553.35,No,2553.35
Female,0,Yes,No,67,Yes,Yes,Yes,Yes,No,No,No,Two year,65.65,4322.85,No,4322.85
Male,0,Yes,Yes,11,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.45,250.8,No,250.8
Male,0,Yes,Yes,72,No,Yes,No,Yes,Yes,Yes,Yes,Two year,60.95,4549.05,No,4549.05
Male,0,Yes,Yes,66,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.35,1359.5,No,1359.5
Female,0,No,No,18,Yes,No,No,No,Yes,Yes,No,Month-to-month,88.35,1639.3,Yes,1639.3
Female,0,No,No,9,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.5,178.85,No,178.85
Female,0,No,No,9,Yes,No,No,No,No,No,No,Month-to-month,75.2,633.85,No,633.85
Male,0,Yes,No,48,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,111.45,5315.1,No,5315.1
Male,0,No,No,10,Yes,No,No,No,No,No,No,Month-to-month,70.15,735.5,No,735.5
Female,0,No,No,9,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.75,889.9,Yes,889.9
Female,1,No,No,13,Yes,No,No,No,No,Yes,Yes,Month-to-month,95.05,1290,Yes,1290.0
Male,0,No,No,4,Yes,No,Yes,No,No,No,No,Month-to-month,78.45,330.05,Yes,330.05
Male,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,70.2,237.95,Yes,237.95
Female,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,92.0,6474.4,No,6474.4
Female,0,Yes,Yes,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,85.5,4421.95,No,4421.95
Male,0,Yes,No,59,No,No,Yes,No,No,No,Yes,Month-to-month,41.05,2452.7,Yes,2452.7
Male,0,Yes,No,10,Yes,No,No,No,No,Yes,No,Month-to-month,85.6,813.85,Yes,813.85
Male,1,Yes,No,61,Yes,No,Yes,No,No,No,No,Month-to-month,82.15,4904.85,No,4904.85
Male,0,No,No,54,Yes,Yes,No,Yes,Yes,No,No,One year,84.4,4484.05,No,4484.05
Female,0,No,No,33,Yes,Yes,Yes,No,No,No,No,Month-to-month,60.9,2033.85,No,2033.85
Female,0,No,No,27,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.25,538.2,No,538.2
Female,1,No,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,79.2,79.2,Yes,79.2
Male,0,No,No,23,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,95.3,2192.9,No,2192.9
Male,0,No,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.85,19.85,No,19.85
Male,0,Yes,Yes,45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,84.35,3858.05,No,3858.05
Female,0,Yes,Yes,39,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.85,854.8,No,854.8
Male,0,No,No,5,Yes,No,No,Yes,No,Yes,Yes,One year,70.0,347.4,Yes,347.4
Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,82.3,5815.15,No,5815.15
Female,0,Yes,Yes,58,Yes,No,Yes,No,No,Yes,No,Month-to-month,66.8,3970.4,No,3970.4
Female,0,No,No,70,No,Yes,Yes,Yes,Yes,No,No,Two year,44.6,3058.15,No,3058.15
Male,0,Yes,Yes,61,Yes,No,Yes,No,Yes,Yes,Yes,One year,98.45,6145.2,No,6145.2
Male,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,70.7,129.2,No,129.2
Female,0,Yes,Yes,46,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,24.95,1165.9,No,1165.9
Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,49.95,49.95,Yes,49.95
Female,0,Yes,No,22,Yes,No,No,No,No,No,No,Month-to-month,69.25,1554,Yes,1554.0
Female,0,No,No,48,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,102.5,4904.25,No,4904.25
Male,0,No,No,64,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,86.55,5632.55,No,5632.55
Male,0,Yes,Yes,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.3,1643.25,No,1643.25
Female,0,Yes,Yes,12,Yes,No,No,Yes,No,Yes,No,Month-to-month,58.35,740.55,No,740.55
Female,1,Yes,No,34,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,94.25,3217.55,Yes,3217.55
Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,No,Yes,Two year,68.75,4888.2,No,4888.2
Male,0,Yes,No,29,Yes,No,Yes,Yes,No,No,No,Month-to-month,85.8,2440.25,No,2440.25
Male,0,Yes,Yes,33,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.1,620.55,No,620.55
Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.35,20.35,No,20.35
Female,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,110.8,6840.95,No,6840.95
Male,0,Yes,No,41,Yes,No,No,Yes,No,Yes,Yes,One year,73.0,3001.2,Yes,3001.2
Female,0,No,No,64,Yes,No,No,Yes,No,Yes,Yes,One year,100.05,6254.2,Yes,6254.2
Female,0,No,No,4,Yes,No,No,Yes,No,No,Yes,Month-to-month,82.85,319.6,No,319.6
Female,0,No,No,24,Yes,Yes,No,No,Yes,No,No,Month-to-month,84.35,1938.05,No,1938.05
Female,0,Yes,Yes,14,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.55,294.5,No,294.5
Male,0,No,Yes,3,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,58.3,No,58.3
Female,1,No,No,4,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,99.8,442.85,Yes,442.85
Female,0,No,Yes,18,No,No,No,No,No,No,Yes,Month-to-month,35.0,553,Yes,553.0
Male,0,No,No,8,Yes,No,No,No,No,Yes,Yes,Month-to-month,66.25,546.45,No,546.45
Female,0,No,No,35,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,23.3,797.1,No,797.1
